t_s,temp_c,throttled_hex,arm_hz
574.58,50.7,0x0,2400037120
576.58,50.15,0x0,1900022784
578.6,51.25,0x0,2400020480
580.6,51.25,0x0,2400027136
582.6,50.7,0x0,1900022784
584.62,50.7,0x0,2400023808
586.63,50.15,0x0,2400020480
588.63,50.7,0x0,1900026112
590.65,51.25,0x0,2400020480
592.66,51.25,0x0,2400027136
594.67,50.7,0x0,1900022784
596.68,50.7,0x0,2400030464
598.68,51.8,0x0,2400037120
600.7,51.25,0x0,2400030464
602.72,51.25,0x0,2400020480
604.73,51.25,0x0,2400030464
606.73,50.7,0x0,1900029440
608.75,50.7,0x0,1900026112
610.75,50.15,0x0,1900022784
612.77,50.7,0x0,1900019584
614.78,50.7,0x0,2400023808
616.78,51.25,0x0,2400020480
618.78,50.15,0x0,1900026112
620.8,50.7,0x0,2400030464
622.8,51.25,0x0,2400030464
624.8,50.7,0x0,1900022784
626.82,50.7,0x0,2400033792
628.82,50.7,0x0,2400037120
630.83,51.25,0x0,2400027136
632.83,50.7,0x0,2400027136
634.85,49.6,0x0,2400027136
636.86,50.7,0x0,2400017408
638.87,50.15,0x0,1900022784
640.88,50.7,0x0,2400020480
642.88,51.25,0x0,2400030464
644.9,50.7,0x0,2400030464
646.9,50.7,0x0,2400033792
648.92,51.25,0x0,2400027136
650.92,50.15,0x0,1900022784
652.92,50.15,0x0,1900019584
654.93,49.6,0x0,1900012928
656.93,49.6,0x0,1900029440
658.95,50.15,0x0,1900026112
660.96,50.7,0x0,2400023808
662.98,50.7,0x0,2400027136
664.98,50.7,0x0,1900016256
667.0,50.7,0x0,1900019584
669.02,49.6,0x0,2400033792
671.03,50.7,0x0,2400020480
673.05,50.15,0x0,2400033792
675.05,49.6,0x0,1900029440
677.05,49.6,0x0,1900026112
679.06,50.7,0x0,2400020480
681.08,50.7,0x0,2400020480
683.08,50.15,0x0,1900026112
685.1,50.15,0x0,2400023808
687.12,50.7,0x0,2400017408
689.13,50.15,0x0,2400030464
691.13,50.7,0x0,2400030464
693.15,50.15,0x0,2400020480
695.15,50.15,0x0,2400023808
697.16,50.15,0x0,2400027136
699.16,50.15,0x0,2400023808
