label,path,rtf,miss,t_cpa,phase_cpa,t_last,blind_sim_s,range_lastdet,beta_true_lastdet,beta_meas_lastdet,u_px_lastdet,inc_lastdet,tagpx_lastdet,lamdot_true_lastdet,rdot_lastdet,infov_frac_blind,infov_h_frac_blind,max_beta_blind,fov_exit_dtsim,fov_exit_range,max_lamdot_true_blind,max_psidot_blind,mean_psidot_blind,max_inc_blind,inc_at_lastdet,zem_lastdet,zem_freeze,range_freeze,t_freeze,zem_1s,zem_05s,zem_15s,zem_2s,agg_miss,breakoff_reason
FUSEWARM#7,m4_intercept_pronav_20260706T033844Z.csv,0.47319597652431594,1.0435,23.166,ENGAGE,23.013,0.07239898440821972,1.5348,30.746676570970806,25.11159424499372,961.1857612945932,169.33743871925213,175.89783685170707,385.02653964585073,-8.828990121309943,0.3333333333333333,0.3333333333333333,70.08322414888869,0.024132994802741028,1.1634,546.8313033897781,22.04611341099422,18.324272273445104,171.01759409356308,169.33743871925213,1.1563552356892282,1.2536085033080697,3.1141,22.708,4.5367253075612775,1.449115724405242,6.775605597589693,14.670823999353276,1.044,lost detection for >1.0s inside terminal range (5.0 m)
EMIT#0,m4_intercept_pronav_20260706T015052Z.csv,0.49194483752333423,1.0645,21.086,ENGAGE,20.883,0.09986480201723656,1.3106,-37.56653576772899,-33.96837584212599,224.6954580213067,157.4273964286836,205.98809705478408,-440.34075742839553,-5.866536232730066,0.25,0.25,91.53496106668393,0.04968642858985631,1.0707,634.7202894181592,25.918269637808198,24.825269284655008,153.65890641654102,157.4273964286836,1.0762148480971165,1.2588466738487445,2.8053,20.578,3.348451767242088,1.2519635694860896,6.674276661313295,14.952855562734499,1.065,lost detection for >1.0s inside terminal range (5.0 m)
EMIT#1,m4_intercept_pronav_20260706T015149Z.csv,0.4652554209336907,0.7171,23.63,ENGAGE,23.577,0.02465853730948434,0.8362,47.69703134317086,31.11733785355501,1233.320156015251,159.5891521064832,322.8509925855059,744.9405638739381,-5.298732511695422,0.0,0.0,56.023481272184256,0.0,0.7171,894.3946730695795,15.690606923631215,15.690606923631215,152.34889473100804,159.5891521064832,0.7234815995861902,0.8341467101322431,2.9203,23.169,3.7573270677637125,0.8347180490840995,6.594419088059661,15.185922041294702,0.717,lost detection for >1.0s inside terminal range (5.0 m)
EMIT#2,m4_intercept_pronav_20260706T015249Z.csv,0.49258941818380797,0.7197,23.579,ENGAGE,23.579,0.0,0.7197,-74.91238673878318,-35.53426949621853,-1362.8132275867908,139.0407303320819,375.1118521606225,-939.7024266948839,-2.81758587965715,nan,nan,nan,nan,nan,nan,nan,nan,nan,139.0407303320819,0.719421746451668,0.8135403915511803,2.7665,23.171,3.4438728692155363,1.0737586759699442,6.5219661135498646,16.0606494511236,0.72,lost detection for >1.0s inside terminal range (5.0 m)
EMIT#3,m4_intercept_pronav_20260706T015347Z.csv,0.494259130876818,2.6755,23.002,ENGAGE,22.85,0.07512738789327508,2.7194,49.25061844292733,42.6624374254411,1266.640251973427,160.52404516786092,99.27484003824374,196.92687281109207,-2.254212798845885,0.0,0.0,61.63120293654049,0.04992017221855817,2.7169,232.07524028721312,67.42841052814634,63.84290107039656,156.4809406594081,160.52404516786092,2.6479682345045754,2.7632148508642134,3.1797,22.649,4.6201395389271145,2.8040613929818723,6.307910539104504,13.543554683084759,2.675,lost detection for >1.0s inside terminal range (5.0 m)
EMIT#4,m4_intercept_pronav_20260706T015445Z.csv,0.504750855950786,1.8026,22.742,ENGAGE,22.589,0.07722688096047138,2.1272,-42.316770981630356,-37.72640602038906,148.4070647468693,169.65186825130053,126.91237307258368,-232.62277197691907,-5.626988633287274,0.0,0.0,61.204952055882245,0.05198933816293173,2.0396,282.56807308452704,54.94893240904762,53.81559459940605,167.2616905111214,169.65186825130053,1.7674005669161892,1.8297635626071524,2.6098,22.436,4.178073348571294,2.017042253902604,10.62146053914999,14.157736482796947,1.803,lost detection for >1.0s inside terminal range (5.0 m)
EMIT#5,m4_intercept_pronav_20260706T015543Z.csv,0.4545817597040786,0.9437,23.086,ENGAGE,22.984,0.046367339489814544,1.1289,38.329657472413686,27.528330224855534,1066.8697414934295,163.33787119148207,239.14252812472319,461.5689695551028,-6.745309138963444,0.0,0.0,66.36254787621579,0.023183669744907272,1.0424,838.0991579162693,19.738844224343218,17.876127402365746,157.69440783777793,163.33787119148207,0.8708653390959945,0.9893716138708395,2.8873,22.625,4.001257431999547,1.4600165862235965,6.751457284423562,15.606561834049163,0.944,lost detection for >1.0s inside terminal range (5.0 m)
EMIT#6,m4_intercept_pronav_20260706T015644Z.csv,0.4892038140382826,1.1855,21.096,ENGAGE,20.942,0.07533738736189548,1.5091,-38.87505961348387,-24.880119295760867,204.7144883341848,163.85736380199134,178.89338016036046,-388.5447234247023,-6.032734094040636,0.0,0.0,67.5143731584384,0.05038799284594386,1.3043,606.2502084344285,34.67488052542491,33.96599175865092,160.04614934754423,163.85736380199134,1.2600162094607956,1.338996654096863,2.4912,20.686,3.7194721659288033,1.5997009945682739,6.269375166524246,14.69705482127831,1.185,lost detection for >1.0s inside terminal range (5.0 m)
EMIT#7,m4_intercept_pronav_20260706T015739Z.csv,0.48939234089089295,2.0465,22.027,ENGAGE,21.824,0.09934664520085097,2.4749,44.518784583183276,41.88436073965344,1170.9417078518331,173.99065228354885,109.08238716715829,225.34185963417826,-6.3492777964309575,0.25,0.25,68.7050147028801,0.049918018770871236,2.1779,348.7665821055891,69.44938461954261,64.96896318002061,174.4489279295833,173.99065228354885,2.0588562734649836,2.1223698742668695,3.0385,21.67,4.348312264080737,2.2893256518805813,6.535736087818923,13.064260733900419,2.046,lost detection for >1.0s inside terminal range (5.0 m)
DIFF1#0,m4_intercept_pronav_20260706T021444Z.csv,0.510369310802696,3.2574,21.279,ENGAGE,21.024,0.13014417425468697,3.439,-45.5377637383871,-33.143889574932736,89.83226074442575,165.84608319484838,78.50189008432685,-178.58739020722297,-3.163142694641149,0.2,0.2,56.363281362416274,0.07859687386361514,3.3722,200.7552761663855,123.44351640964113,101.52180215928728,162.69107014659085,165.84608319484838,3.321753499725557,3.3399651933313557,3.3722,21.125,4.6981941229665205,3.8774882284640757,6.601707877891086,8.129439109833784,3.257,lost detection for >1.0s inside terminal range (5.0 m)
DIFF2#0,m4_intercept_pronav_20260706T022811Z.csv,0.48812651180779126,2.4226,21.278,ENGAGE,20.767,0.24943264753378097,3.5978,-36.05408860315896,-25.859304167639447,246.93422721904471,155.0145434386849,75.03696703541054,-107.68332862273854,-7.5450214136812095,0.4,0.4,75.33305149012008,0.1239841339991779,2.8168,301.51386393598347,57.78726581247109,49.79468724706431,171.3896356389714,155.0145434386849,2.485730472336503,2.544787250764443,3.0585,20.92,4.723275079552085,2.7167436755396386,8.698122574981323,14.083983449411694,2.423,lost detection for >1.0s inside terminal range (5.0 m)
DIFF2#1,m4_intercept_pronav_20260706T022909Z.csv,0.45629138404425545,1.1256,22.219,ENGAGE,22.068,0.06889999899068248,1.3624,54.12381262424901,35.10512410766554,1386.545353948432,167.02212065291775,198.1561949500881,497.17716790577725,-7.08155030654345,0.0,0.0,85.83657327196573,0.04608542978847101,1.2473,602.6415859784253,34.35272905914206,30.748187598955543,168.417327104671,167.02212065291775,1.1776776300039733,1.0421980160295343,3.0029,21.763,2.3076987463649385,0.8272044037663373,6.294393274946552,14.173263777239503,1.126,lost detection for >1.0s inside terminal range (5.0 m)
DIFF2#2,m4_intercept_pronav_20260706T023007Z.csv,0.4985356444147471,0.9782,23.666,ENGAGE,23.566,0.04985356444147542,1.2661,-51.68999814405845,-33.04075717180918,-43.43223848358957,143.65524511486288,213.22802306294923,-451.49357419589546,-7.131468471197678,0.0,0.0,84.81513249871564,0.024428246576322355,1.1491,702.5856040425828,22.675485946802024,21.46895306342903,143.73436129900142,143.65524511486288,0.9763166977760517,0.9718567187876885,2.7884,23.309,2.338250569242912,0.6022773435299806,10.184513624534842,15.368287590357964,0.978,lost detection for >1.0s inside terminal range (5.0 m)
DIFF2#3,m4_intercept_pronav_20260706T023108Z.csv,0.5024312261224705,2.6089,20.966,ENGAGE,20.762,0.10249597012898429,2.9453,42.89037757479741,32.109700754721594,1141.570538923198,175.85606546938345,91.66061182222525,244.08563368392205,-5.61197419611559,0.25,0.25,58.513491374247565,0.051750416290615234,2.745,258.54436184226824,85.60297140974492,79.67722323560056,170.59692707287456,175.85606546938345,2.6972292456837383,2.6595019854669557,3.1516,20.71,3.1673032845327755,3.140327963423923,5.830944454593493,13.268075581100408,2.609,lost detection for >1.0s inside terminal range (5.0 m)
DIFF2#4,m4_intercept_pronav_20260706T023205Z.csv,0.5010032993720198,0.3767,23.343,ENGAGE,23.292,0.0255511682679722,0.4867,16.717721650014198,-3.578121430591991,802.1706145158187,105.61426705627352,554.6907746044792,967.2809842821168,-8.145118840364448,0.0,1.0,41.57502581761338,nan,nan,1597.479749128274,3.9589171852722704,3.9589171852722704,89.37638084878886,105.61426705627352,0.37801168025469656,0.3148280654392556,4.3373,22.635,4.0943663282041,0.34822172233189275,9.477657475632562,14.344664291050242,0.377,lost detection for >1.0s inside terminal range (5.0 m)
DIFF2#5,m4_intercept_pronav_20260706T023309Z.csv,0.5111686089099324,3.3687,24.384,ENGAGE,24.231,0.07820879716321899,3.4685,52.981496597217784,43.504685384283405,1356.0380356656565,163.71267910947003,77.83422228629091,187.95717860055169,-2.694709644494057,0.0,0.0,57.05654598025555,0.05213919810881327,3.4253,223.66994737159027,123.78949852590922,111.64040179379025,162.39093002432026,163.71267910947003,3.425101858092801,3.389281349109138,3.4045,24.333,4.861818492835764,3.864274772575259,6.724208071656879,11.907520072405273,3.369,lost detection for >1.0s inside terminal range (5.0 m)
DIFF2#6,m4_intercept_pronav_20260706T023409Z.csv,0.4809973029461822,1.3338,22.926,ENGAGE,22.723,0.0976424524980747,1.5683,-47.469645501746356,-34.20156966474423,51.38961464496697,159.8382712487433,172.14053433654277,-323.02917697225223,-5.772687218474516,0.25,0.25,76.31855680798449,0.04858072759756397,1.4063,529.7036679722935,35.979973177256724,31.006834589667122,159.8382712487433,159.8382712487433,1.3854813642931476,1.5124545773402667,4.4904,22.114,3.683029766031566,1.4790905470416342,6.0290793440022705,16.80313515835661,1.334,lost detection for >1.0s inside terminal range (5.0 m)
DIFF2#7,m4_intercept_pronav_20260706T023509Z.csv,0.4878859009520033,2.2516,24.772,ENGAGE,24.67,0.04976436189710275,2.3568,52.50237362820735,45.582230349427775,1343.718656621062,162.11442562369143,114.54854039375427,263.09792638252094,-4.213490920219895,0.0,0.0,57.798941931110164,0.024882180948551377,2.3439,279.52095757939867,79.87270762608956,79.46881664583928,157.07071409735727,162.11442562369143,2.261765790063415,2.339597957483362,2.949,24.468,5.047686336471072,2.6606717597984,6.555826853849316,14.706720271018959,2.252,lost detection for >1.0s inside terminal range (5.0 m)
