background,attitude_axis,frame,gt_range,gcx,gcy,gbearing_deg,n_boxes,any_hit,top1_hit,target_hit_rank,top1_is_phantom
sky,on,sky_level_000123_r010.0_pos,10.0,637.9,333.1,-0.2,8,1,1,1,0
sky,on,sky_level_000124_r010.0_pos,10.0,638.0,333.3,-0.2,8,1,1,1,0
sky,on,sky_level_000125_r010.0_pos,10.0,638.2,333.4,-0.2,17,1,1,1,0
sky,on,sky_level_000126_r010.0_pos,10.0,638.4,333.3,-0.2,17,1,1,1,0
sky,on,sky_level_000127_r010.0_pos,10.0,638.5,333.1,-0.2,14,1,1,1,0
sky,on,sky_level_000128_r010.0_pos,10.0,638.6,333.0,-0.1,14,1,1,1,0
sky,on,sky_level_000129_r010.0_pos,10.0,638.7,333.2,-0.1,10,1,1,1,0
sky,on,sky_level_000130_r010.0_pos,10.0,638.8,333.5,-0.1,18,1,1,2,0
sky,on,sky_level_000131_r010.0_pos,10.0,638.9,333.8,-0.1,14,1,1,1,0
sky,on,sky_level_000132_r010.0_pos,10.0,638.9,334.2,-0.1,9,1,1,1,0
sky,on,sky_level_000133_r010.0_pos,10.0,639.0,334.6,-0.1,13,1,1,1,0
sky,on,sky_level_000134_r010.0_pos,10.0,639.0,334.9,-0.1,13,1,1,1,0
sky,on,sky_level_000135_r010.0_pos,10.0,639.0,335.2,-0.1,13,1,1,1,0
sky,off,sky_level_000136_r010.0_pos,10.0,485.1,329.9,-16.0,3,0,0,,1
sky,off,sky_level_000137_r010.0_pos,10.0,485.1,329.9,-16.0,9,1,1,1,0
sky,off,sky_level_000138_r010.0_pos,10.0,485.0,329.7,-16.0,9,1,1,1,0
sky,off,sky_level_000139_r010.0_pos,10.0,485.0,329.3,-16.0,19,1,1,1,0
sky,off,sky_level_000140_r010.0_pos,10.0,485.0,328.8,-16.0,24,1,1,1,0
sky,off,sky_level_000141_r010.0_pos,10.0,484.9,328.2,-16.0,18,1,1,1,0
sky,off,sky_level_000142_r010.0_pos,10.0,484.9,327.6,-16.0,11,0,0,,1
sky,off,sky_level_000143_r010.0_pos,10.0,484.8,326.9,-16.0,9,1,1,1,0
sky,off,sky_level_000144_r010.0_pos,10.0,484.7,326.3,-16.1,9,1,1,1,0
sky,off,sky_level_000145_r010.0_pos,10.0,484.6,326.0,-16.1,9,1,1,1,0
sky,off,sky_level_000146_r010.0_pos,10.0,484.5,325.9,-16.1,12,1,1,1,0
sky,off,sky_level_000147_r010.0_pos,10.0,484.4,326.1,-16.1,16,1,1,1,0
sky,off,sky_level_000148_r010.0_pos,10.0,484.3,326.1,-16.1,24,1,1,3,0
sky,off,sky_level_000149_r010.0_pos,10.0,484.2,326.3,-16.1,10,0,0,,1
sky,off,sky_level_000150_r010.0_pos,10.0,484.2,326.9,-16.1,9,1,1,1,0
sky,off,sky_level_000151_r010.0_pos,10.0,484.2,327.9,-16.1,9,1,1,1,0
sky,off,sky_level_000152_r010.0_pos,10.0,484.2,329.0,-16.1,9,1,1,1,0
sky,off,sky_level_000153_r010.0_pos,10.0,484.3,329.8,-16.1,9,1,1,1,0
sky,off,sky_level_000154_r010.0_pos,10.0,484.3,330.2,-16.1,17,1,1,1,0
sky,off,sky_level_000155_r010.0_pos,10.0,484.3,329.9,-16.1,14,1,1,1,0
sky,off,sky_level_000156_r010.0_pos,10.0,484.3,329.2,-16.1,2,0,0,,1
sky,off,sky_level_000157_r010.0_pos,10.0,484.3,328.6,-16.1,20,1,1,4,0
sky,off,sky_level_000158_r010.0_pos,10.0,484.2,328.3,-16.1,9,1,1,1,0
sky,off,sky_level_000159_r010.0_pos,10.0,484.0,328.0,-16.1,9,1,1,1,0
sky,on,sky_level_000160_r012.0_pos,12.0,639.9,335.0,-0.0,10,1,1,1,0
sky,on,sky_level_000161_r012.0_pos,12.0,639.8,334.8,-0.0,12,1,1,1,0
sky,on,sky_level_000162_r012.0_pos,12.0,639.7,334.4,-0.0,9,1,1,1,0
sky,on,sky_level_000163_r012.0_pos,12.0,639.7,334.1,-0.0,7,1,1,1,0
sky,on,sky_level_000164_r012.0_pos,12.0,639.8,333.9,-0.0,4,1,1,1,0
sky,on,sky_level_000165_r012.0_pos,12.0,639.8,333.9,-0.0,4,1,1,1,0
sky,on,sky_level_000166_r012.0_pos,12.0,639.8,334.1,-0.0,9,1,1,1,0
sky,on,sky_level_000167_r012.0_pos,12.0,639.9,334.1,-0.0,13,1,1,1,0
sky,on,sky_level_000168_r012.0_pos,12.0,639.8,334.3,-0.0,11,1,1,1,0
sky,on,sky_level_000169_r012.0_pos,12.0,639.6,334.8,-0.0,10,1,1,1,0
sky,on,sky_level_000170_r012.0_pos,12.0,639.5,335.8,-0.1,6,1,1,1,0
sky,on,sky_level_000171_r012.0_pos,12.0,639.4,336.7,-0.1,4,1,1,1,0
sky,on,sky_level_000172_r012.0_pos,12.0,639.4,337.4,-0.1,4,1,1,1,0
sky,on,sky_level_000173_r012.0_pos,12.0,639.4,337.8,-0.1,4,1,1,1,0
sky,on,sky_level_000174_r012.0_pos,12.0,639.5,337.7,-0.1,25,1,1,3,0
sky,on,sky_level_000175_r012.0_pos,12.0,639.5,337.6,-0.1,15,1,1,2,0
sky,on,sky_level_000176_r012.0_pos,12.0,639.6,337.3,-0.0,11,1,1,1,0
sky,on,sky_level_000177_r011.9_pos,11.9,639.5,337.0,-0.1,7,1,1,1,0
sky,on,sky_level_000178_r011.9_pos,11.9,639.5,336.6,-0.1,4,1,1,1,0
sky,on,sky_level_000179_r011.9_pos,11.9,639.5,336.6,-0.0,4,1,1,1,0
sky,on,sky_level_000180_r011.9_pos,11.9,639.5,336.8,-0.1,4,1,1,1,0
sky,on,sky_level_000181_r011.9_pos,11.9,639.4,336.9,-0.1,13,1,1,1,0
sky,on,sky_level_000182_r011.9_pos,11.9,639.3,336.8,-0.1,10,1,1,1,0
sky,on,sky_level_000183_r011.9_pos,11.9,639.1,336.9,-0.1,17,1,1,3,0
sky,off,sky_level_000184_r012.0_pos,12.0,485.1,329.6,-16.0,12,0,0,,1
sky,off,sky_level_000185_r012.0_pos,12.0,485.1,330.3,-16.0,10,1,1,1,0
sky,off,sky_level_000186_r012.0_pos,12.0,485.1,331.0,-16.0,16,1,1,1,0
sky,off,sky_level_000187_r012.0_pos,12.0,485.2,331.6,-16.0,9,1,1,1,0
sky,off,sky_level_000188_r012.0_pos,12.0,485.4,331.7,-16.0,19,1,1,1,0
sky,off,sky_level_000189_r012.0_pos,12.0,485.6,331.8,-16.0,14,1,1,1,0
