dataset,frame,gt_range,gbearing_deg,n_boxes,n_target_boxes,n_phantom_boxes,any_hit,top1_raw_hit,deployed_hit,target_hit_rank,loss_reason,score_margin_phantom_minus_target
quad_canonical_r2l_capture,c1_000239_r015.7_pos,15.7,-5.4,18,5,13,1,1,1,1,,
quad_canonical_r2l_capture,c1_000240_r014.5_pos,14.5,+7.2,20,0,20,0,0,0,,,
quad_canonical_r2l_capture,c1_000241_r013.7_pos,13.7,+18.6,27,0,27,0,0,0,,,
quad_canonical_r2l_capture,c2_000214_r014.2_pos,14.2,-46.7,14,8,6,1,1,0,1,self_mask_rejects_target,
quad_canonical_r2l_capture,c2_000215_r014.2_pos,14.2,-41.3,13,5,8,1,1,0,1,self_mask_rejects_target,
quad_canonical_r2l_capture,c2_000216_r014.2_pos,14.2,-34.7,24,0,24,0,0,0,,,
quad_canonical_r2l_capture,c2_000217_r014.2_pos,14.2,-28.0,4,0,4,0,0,0,,,
quad_canonical_r2l_capture,c2_000218_r014.0_pos,14.0,-19.6,30,0,30,0,0,0,,,
quad_canonical_r2l_capture,c2_000219_r013.3_pos,13.3,-9.3,21,0,21,0,0,0,,,
quad_canonical_r2l_capture,c2_000220_r013.0_pos,13.0,+0.4,23,9,14,1,1,1,1,,
quad_canonical_r2l_capture,c2_000221_r012.1_pos,12.1,+14.1,18,0,18,0,0,0,,,
quad_canonical_r2l_capture,c3_000220_r015.6_pos,15.6,-47.6,16,5,11,1,0,0,7,self_mask_rejects_target,
quad_canonical_r2l_capture,c3_000221_r015.6_pos,15.6,-40.7,18,0,18,0,0,0,,,
quad_canonical_r2l_capture,c3_000222_r015.6_pos,15.6,-32.7,10,0,10,0,0,0,,,
quad_canonical_r2l_capture,c3_000223_r015.6_pos,15.6,-24.4,4,0,4,0,0,0,,,
quad_canonical_r2l_capture,c3_000224_r015.6_pos,15.6,-16.5,3,0,3,0,0,0,,,
quad_canonical_r2l_capture,c3_000225_r015.1_pos,15.1,-7.5,10,0,10,0,0,0,,,
quad_canonical_r2l_capture,c3_000226_r014.4_pos,14.4,+2.4,21,0,21,0,0,0,,,
quad_canonical_r2l_capture,c3_000227_r013.9_pos,13.9,+11.2,26,0,26,0,0,0,,,
quad_canonical_r2l_capture,c3_000228_r013.2_pos,13.2,+22.1,16,0,16,0,0,0,,,
quad_canonical_r2l_capture,c4_000233_r014.6_pos,14.6,-49.0,6,1,5,1,0,0,6,self_mask_rejects_target,
quad_canonical_r2l_capture,c4_000234_r014.6_pos,14.6,-46.4,10,9,1,1,1,0,1,self_mask_rejects_target,-0.551
quad_canonical_r2l_capture,c4_000235_r014.6_pos,14.6,-44.3,9,0,9,0,0,0,,,
quad_canonical_r2l_capture,c4_000236_r014.4_pos,14.4,-42.8,9,0,9,0,0,0,,,
quad_canonical_r2l_capture,c4_000237_r013.5_pos,13.5,-39.4,15,0,15,0,0,0,,,
quad_canonical_r2l_capture,c4_000238_r013.0_pos,13.0,-37.6,21,10,11,1,1,0,1,self_mask_rejects_target,-0.279
quad_canonical_r2l_capture,c4_000243_r009.4_pos,9.4,+28.4,10,0,10,0,0,0,,,
quad_canonical_r2l_capture,c4_000244_r008.8_pos,8.8,+37.3,13,0,13,0,0,0,,,
quad_canonical_r2l_capture,c4_000245_r008.2_pos,8.2,+47.6,25,9,16,1,1,0,1,self_mask_rejects_target,-0.220
quad_canonical_r2l_capture,c5_000220_r015.9_pos,15.9,-48.2,11,6,5,1,1,0,1,self_mask_rejects_target,-0.096
quad_canonical_r2l_capture,c5_000221_r015.9_pos,15.9,-45.2,17,8,9,1,1,0,1,self_mask_rejects_target,
quad_canonical_r2l_capture,c5_000222_r015.9_pos,15.9,-42.0,10,0,10,0,0,0,,,
quad_canonical_r2l_capture,c5_000223_r015.7_pos,15.7,-38.6,5,0,5,0,0,0,,,
quad_canonical_r2l_capture,c5_000224_r015.2_pos,15.2,-33.2,28,0,28,0,0,0,,,
quad_canonical_r2l_capture,c5_000225_r014.9_pos,14.9,-26.0,21,0,21,0,0,0,,,
quad_canonical_r2l_capture,c5_000226_r014.0_pos,14.0,-11.4,11,0,11,0,0,0,,,
quad_canonical_r2l_capture,c6_000248_r015.2_pos,15.2,-48.3,9,0,9,0,0,0,,,
quad_canonical_r2l_capture,c6_000249_r015.2_pos,15.2,-41.2,14,0,14,0,0,0,,,
quad_canonical_r2l_capture,c6_000250_r015.2_pos,15.2,-33.7,10,0,10,0,0,0,,,
quad_canonical_r2l_capture,c6_000251_r015.2_pos,15.2,-24.3,15,0,15,0,0,0,,,
