# scripts/wind_driver.py -- APPLIED wind wrench log (world-side disturbance; gt side of the honesty boundary, scoring/audit only)
# world=apriltag entity=x500_mono_cam_0::base_link topic=/world/apriltag/wrench/persistent
# label=gate0 mean_mps=5.0 dir_from_deg=270.0 height_m=6.0 sigma_mps=0.0 tau_s=8.629200809773325 seed=7 rate_hz=20.0
# conditions_provenance=Gate-0 physics probe: synthetic steady wind, NOT a field reading (docs/wind_gate0_prereg.md)
# drag: mass_kg=2.114307692307692 mcoef_per_s=0.15 bcoef=100.0 rho=1.225
# drag_provenance=PX4 defaults + SDF mass, SITL ONLY: EKF2_MCOEF=0.15 1/s and EKF2_BCOEF_X/Y=100 kg/m^2 from src/modules/ekf2/params_drag.yaml; mass 2.114308 kg = x500_base/model.sdf (2.0 + 4*0.016076923) + mono_cam/model.sdf (0.050); rho 1.225 ISA. NOT measured on the real airframe -- do not quote a field number off these.
# columns applied_f_* are what was PUT ON THE WIRE; `published` is whether gz-transport accepted it (ADR-0090 pattern: log what was applied, not what was intended)
t_sim,grid_index,wind_n,wind_e,wind_d,steady_n,steady_e,gust_u,gust_v,v_veh_n,v_veh_e,v_rel_n,v_rel_e,v_rel_mps,a_drag_m_s2,applied_f_n,applied_f_e,applied_f_d,applied_f_world_x,applied_f_world_y,applied_f_world_z,published,publish_error
42.3440,846,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,-0.01487,0.02794,0.01487,4.97206,4.97209,0.89723,0.00567,1.89702,0.00000,1.89702,0.00567,-0.00000,1,
42.3920,847,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,-0.01537,0.02807,0.01537,4.97193,4.97196,0.89721,0.00586,1.89696,0.00000,1.89696,0.00586,-0.00000,1,
42.4440,848,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,-0.01591,0.02817,0.01591,4.97183,4.97186,0.89718,0.00607,1.89692,0.00000,1.89692,0.00607,-0.00000,1,
42.4920,849,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,-0.01594,0.02783,0.01594,4.97217,4.97220,0.89726,0.00608,1.89707,0.00000,1.89707,0.00608,-0.00000,1,
42.5440,850,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,-0.01595,0.02752,0.01595,4.97248,4.97251,0.89732,0.00609,1.89720,0.00000,1.89720,0.00609,-0.00000,1,
42.5920,851,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,-0.01535,0.02711,0.01535,4.97289,4.97291,0.89741,0.00586,1.89738,0.00000,1.89738,0.00586,-0.00000,1,
42.6440,852,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,-0.01468,0.02660,0.01468,4.97340,4.97342,0.89751,0.00560,1.89761,0.00000,1.89761,0.00560,-0.00000,1,
42.6920,853,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,-0.01402,0.02585,0.01402,4.97415,4.97417,0.89767,0.00535,1.89795,0.00000,1.89795,0.00535,-0.00000,1,
42.7440,854,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,-0.01313,0.02496,0.01313,4.97504,4.97506,0.89786,0.00501,1.89834,0.00000,1.89834,0.00501,-0.00000,1,
42.7920,855,0.00000,5.00000,0.00000,0.00000,5.00000,0.00000,0.00000,-0.01204,0.02398,0.01204,4.97602,4.97604,0.89807,0.00459,1.89878,0.00000,1.89878,0.00459,-0.00000,1,
