t_s,temp_c,throttled_hex,arm_hz
663.27,65.0,0x0,2400033792
665.43,66.1,0x0,2400020480
667.54,67.2,0x0,2400027136
669.65,66.1,0x0,2400020480
671.66,65.55,0x0,2400027136
673.69,67.2,0x0,2400037120
675.76,65.55,0x0,2400030464
677.82,66.1,0x0,2400033792
679.84,67.2,0x0,2400027136
681.87,66.65,0x0,2400027136
683.92,66.1,0x0,2400020480
685.93,66.1,0x0,2400017408
688.09,65.55,0x0,2400030464
690.21,66.65,0x0,2400030464
692.24,66.65,0x0,2400027136
694.38,66.65,0x0,2400027136
696.39,65.0,0x0,2400033792
698.53,67.2,0x0,2400030464
700.63,66.65,0x0,2400033792
702.8,65.55,0x0,2400020480
704.83,66.65,0x0,2400037120
706.88,67.2,0x0,2400037120
708.94,66.65,0x0,2400017408
710.96,65.55,0x0,2400023808
713.09,66.65,0x0,2400027136
715.24,66.65,0x0,2400030464
717.37,66.1,0x0,2400020480
719.5,65.55,0x0,2400030464
721.57,66.65,0x0,2400030464
723.61,65.55,0x0,2400020480
725.68,67.2,0x0,2400033792
727.7,67.2,0x0,2400030464
729.86,67.2,0x0,2400017408
731.91,66.65,0x0,2400030464
734.07,66.1,0x0,2400030464
736.2,67.2,0x0,2400020480
738.36,67.2,0x0,2400020480
740.52,66.1,0x0,2400033792
742.53,67.2,0x0,2400033792
744.54,67.2,0x0,2400020480
746.58,67.2,0x0,2400033792
748.74,67.2,0x0,2400020480
