t_s,temp_c,throttled_hex,arm_hz
525.18,58.4,0x0,2400030464
527.18,57.3,0x0,2400027136
529.19,57.3,0x0,2400027136
531.2,57.85,0x0,2400020480
533.2,58.95,0x0,2400033792
535.21,57.3,0x0,2400027136
537.21,57.3,0x0,2400020480
539.21,58.4,0x0,2400020480
541.22,58.4,0x0,2400017408
543.22,58.4,0x0,2400020480
545.23,57.85,0x0,2400020480
547.23,58.4,0x0,2400030464
549.24,57.85,0x0,2400030464
551.24,57.85,0x0,2400033792
553.24,56.2,0x0,2400033792
555.24,58.4,0x0,2400030464
557.24,57.85,0x0,2400033792
559.25,56.75,0x0,2400030464
561.26,58.4,0x0,2400020480
563.26,57.85,0x0,2400020480
565.27,57.85,0x0,2400020480
567.27,58.4,0x0,2400030464
569.27,57.85,0x0,2400030464
571.28,57.85,0x0,2400017408
573.28,58.4,0x0,2400033792
575.28,58.4,0x0,2400020480
577.28,58.95,0x0,2400020480
579.29,58.95,0x0,2400027136
581.29,58.95,0x0,2400020480
583.3,58.4,0x0,2400023808
585.3,57.3,0x0,2400030464
587.3,58.4,0x0,2400030464
589.31,57.85,0x0,2400020480
591.31,57.85,0x0,2400033792
593.31,58.4,0x0,2400030464
595.32,58.95,0x0,2400030464
597.33,58.4,0x0,2400030464
599.33,57.3,0x0,2400033792
601.34,57.3,0x0,2400027136
603.34,57.85,0x0,2400020480
605.34,59.5,0x0,2400033792
607.35,58.95,0x0,2400020480
609.35,57.85,0x0,2400030464
611.36,58.4,0x0,2400030464
613.36,58.4,0x0,2400017408
615.36,58.95,0x0,2400030464
617.37,57.85,0x0,2400030464
619.37,58.95,0x0,2400030464
621.38,58.4,0x0,2400017408
623.38,58.95,0x0,2400027136
625.39,58.4,0x0,2400027136
627.39,58.4,0x0,2400020480
629.4,57.85,0x0,2400020480
631.4,58.4,0x0,2400033792
633.41,58.4,0x0,2400020480
635.42,58.4,0x0,2400033792
637.42,58.4,0x0,2400037120
639.42,58.95,0x0,2400033792
641.43,58.4,0x0,2400033792
643.44,59.5,0x0,2400033792
645.44,58.4,0x0,2400030464
647.44,58.95,0x0,2400020480
649.45,58.4,0x0,2400020480
651.45,57.85,0x0,2400020480
653.46,58.4,0x0,2400027136
655.46,59.5,0x0,2400033792
657.47,59.5,0x0,2400020480
659.47,57.85,0x0,2400030464
661.47,58.95,0x0,2400030464
663.48,57.3,0x0,2400037120
665.48,57.85,0x0,2400030464
667.48,58.95,0x0,2400033792
669.49,58.95,0x0,2400027136
671.49,57.85,0x0,2400027136
673.49,58.4,0x0,2400033792
675.5,58.95,0x0,2400027136
677.5,58.95,0x0,2400030464
679.51,58.4,0x0,2400030464
681.51,58.95,0x0,2400033792
683.51,59.5,0x0,2400020480
685.52,58.95,0x0,2400033792
687.52,57.85,0x0,2400030464
689.53,58.4,0x0,2400020480
691.53,58.4,0x0,2400033792
693.54,58.95,0x0,2400030464
695.54,58.4,0x0,2400020480
697.55,58.95,0x0,2400033792
699.55,59.5,0x0,2400027136
701.56,58.95,0x0,2400020480
703.57,58.95,0x0,2400033792
705.57,59.5,0x0,2400033792
707.58,59.5,0x0,2400020480
709.58,58.95,0x0,2400027136
711.58,58.4,0x0,2400017408
713.58,57.85,0x0,2400037120
715.59,58.4,0x0,2400033792
717.59,58.95,0x0,2400020480
719.6,58.95,0x0,2400027136
721.6,58.95,0x0,2400020480
723.6,58.95,0x0,2400027136
725.61,57.85,0x0,2400030464
727.61,56.2,0x0,2400027136
729.62,57.85,0x0,2400033792
731.62,58.95,0x0,2400030464
733.63,58.95,0x0,2400020480
735.63,58.95,0x0,2400020480
737.63,58.95,0x0,2400020480
739.64,58.95,0x0,2400020480
741.65,58.95,0x0,2400027136
743.65,58.4,0x0,2400027136
745.66,58.95,0x0,2400037120
747.66,57.85,0x0,2400020480
749.66,58.95,0x0,2400027136
751.67,58.4,0x0,2400030464
753.67,57.85,0x0,2400033792
755.67,58.95,0x0,2400030464
757.68,58.95,0x0,2400020480
759.68,58.4,0x0,2400027136
761.68,58.95,0x0,2400030464
763.69,59.5,0x0,2400027136
765.7,59.5,0x0,2400030464
767.7,58.4,0x0,2400020480
769.71,58.95,0x0,2400033792
771.71,59.5,0x0,2400027136
773.72,58.95,0x0,2400037120
775.72,58.95,0x0,2400027136
777.73,58.95,0x0,2400033792
779.74,58.95,0x0,2400020480
781.74,58.4,0x0,2400037120
783.75,59.5,0x0,2400030464
785.75,57.85,0x0,2400017408
787.75,57.85,0x0,2400033792
789.75,59.5,0x0,2400037120
791.76,58.95,0x0,2400037120
793.76,59.5,0x0,2400023808
795.77,59.5,0x0,2400023808
797.78,57.85,0x0,2400023808
799.78,58.95,0x0,2400023808
801.79,59.5,0x0,2400023808
803.79,59.5,0x0,2400030464
805.8,58.4,0x0,2400033792
807.8,59.5,0x0,2400027136
809.81,59.5,0x0,2400033792
811.81,59.5,0x0,2400033792
813.81,58.4,0x0,2400033792
815.82,59.5,0x0,2400033792
817.83,58.4,0x0,2400020480
819.83,57.85,0x0,2400030464
821.84,58.4,0x0,2400020480
823.84,59.5,0x0,2400027136
825.85,59.5,0x0,2400030464
827.86,59.5,0x0,2400020480
829.87,59.5,0x0,2400020480
831.87,59.5,0x0,2400037120
833.88,58.95,0x0,2400033792
835.88,58.95,0x0,2400027136
837.89,57.85,0x0,2400017408
839.89,59.5,0x0,2400020480
841.89,58.4,0x0,2400020480
843.9,59.5,0x0,2400027136
845.91,58.4,0x0,2400030464
847.91,58.95,0x0,2400020480
849.92,58.95,0x0,2400020480
851.92,57.85,0x0,2400037120
853.92,58.95,0x0,2400033792
855.93,59.5,0x0,2400020480
857.93,58.95,0x0,2400030464
859.94,58.95,0x0,2400020480
861.95,58.95,0x0,2400027136
863.95,58.95,0x0,2400017408
865.96,59.5,0x0,2400020480
867.97,59.5,0x0,2400030464
869.97,58.4,0x0,2400033792
871.97,57.85,0x0,2400027136
873.97,58.4,0x0,2400030464
875.97,58.4,0x0,2400030464
877.98,58.4,0x0,2400020480
879.99,58.95,0x0,2400030464
881.99,57.3,0x0,2400033792
884.0,58.4,0x0,2400033792
886.01,57.85,0x0,2400030464
888.01,57.85,0x0,2400030464
890.02,56.75,0x0,2400030464
892.02,57.85,0x0,2400020480
894.03,58.4,0x0,2400033792
896.04,57.85,0x0,2400020480
898.04,56.75,0x0,2400037120
