t_s,temp_c,throttled_hex,arm_hz
652.07,57.85,0x0,2400033792
654.09,56.75,0x0,2400033792
656.1,58.95,0x0,2400033792
658.12,57.3,0x0,2400017408
660.14,57.85,0x0,2400020480
662.16,57.3,0x0,2400037120
664.17,56.75,0x0,2400030464
666.17,57.3,0x0,2400037120
668.17,57.3,0x0,2400030464
670.18,58.4,0x0,2400030464
672.2,57.85,0x0,2400030464
674.21,57.3,0x0,2400030464
676.23,56.75,0x0,2400020480
678.23,56.75,0x0,2400020480
680.25,57.85,0x0,2400020480
682.25,57.3,0x0,2400020480
684.27,57.3,0x0,2400020480
686.28,57.85,0x0,2400033792
688.29,56.75,0x0,2400020480
690.31,57.85,0x0,2400033792
692.31,57.85,0x0,2400033792
694.32,58.4,0x0,2400037120
696.34,58.4,0x0,2400027136
698.35,57.3,0x0,2400033792
700.35,57.85,0x0,2400033792
702.36,56.75,0x0,2400020480
704.37,58.4,0x0,2400027136
706.39,57.85,0x0,2400020480
708.41,57.3,0x0,2400033792
710.41,57.85,0x0,2400033792
712.41,57.3,0x0,2400030464
714.43,57.3,0x0,2400030464
716.44,57.3,0x0,2400020480
718.45,57.85,0x0,2400030464
720.46,57.85,0x0,2400020480
722.46,56.75,0x0,2400033792
724.47,56.75,0x0,2400033792
726.48,58.4,0x0,2400037120
728.48,56.75,0x0,2400037120
730.5,56.75,0x0,2400027136
732.51,57.85,0x0,2400027136
734.52,57.85,0x0,2400030464
736.53,57.3,0x0,2400027136
738.55,57.85,0x0,2400033792
740.56,57.3,0x0,2400033792
742.58,56.75,0x0,2400027136
744.58,57.85,0x0,2400017408
746.58,58.4,0x0,2400033792
748.59,57.85,0x0,2400033792
